CODIGO|PROCESO|FECHAINICIO|FECHAFIN|DURACION|SERVIDOR|ESTADO|FREC_EJECUCION|BASE_DATOS|                                                                                                                 
720|720_CONSULTACUENTAS|24/07/2026 05:02:20 PM|24/07/2026 05:02:21 PM|1s|TPBOG002|TERMINADO|DIARIO|MDE|                                                                                                 
720|720_CONSULTACUENTAS|24/07/2026 05:07:20 PM|24/07/2026 05:07:21 PM|1s|TPBOG002|TERMINADO|DIARIO|MDE|                                                                                                 
223|ACTUALIZA ESTADOS DE FACTURAS PAGADAS O CANCELADAS|24/07/2026 05:09:27 PM|24/07/2026 05:09:27 PM|0s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                              
220|GENERA FACTURAS PAC|24/07/2026 05:09:27 PM|24/07/2026 05:09:27 PM|0s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                                                             
496|GENERACION_REPORTE_SERVICIOS|24/07/2026 05:09:28 PM|24/07/2026 05:09:29 PM|1s|TPBOG001|TERMINADO|DIARIO|APPNEPS|                                                                                    
720|720_CONSULTACUENTAS|24/07/2026 05:12:20 PM|24/07/2026 05:12:21 PM|1s|TPBOG002|TERMINADO|DIARIO|MDE|                                                                                                 
530|REPORTE GENERAL TUTELAS|24/07/2026 05:14:41 PM|24/07/2026 05:36:50 PM|22m 9s|TPBOG001|TERMINADO|DIARIO|APPNEPS|                                                                                     
720|720_CONSULTACUENTAS|24/07/2026 05:17:20 PM|24/07/2026 05:17:21 PM|1s|TPBOG002|TERMINADO|DIARIO|MDE|                                                                                                 
223|ACTUALIZA ESTADOS DE FACTURAS PAGADAS O CANCELADAS|24/07/2026 05:19:27 PM|24/07/2026 05:19:27 PM|0s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                              
220|GENERA FACTURAS PAC|24/07/2026 05:19:27 PM|24/07/2026 05:19:27 PM|0s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                                                             
720|720_CONSULTACUENTAS|24/07/2026 05:22:20 PM|24/07/2026 05:22:21 PM|1s|TPBOG002|TERMINADO|DIARIO|MDE|                                                                                                 
720|720_CONSULTACUENTAS|24/07/2026 05:27:20 PM|24/07/2026 05:27:21 PM|1s|TPBOG002|TERMINADO|DIARIO|MDE|                                                                                                 
724|CARGUE NOVEDADES SAT|24/07/2026 05:29:26 PM|24/07/2026 05:29:31 PM|5s|TPBOG001|TERMINADO|DIARIO|FAMISANA|                                                                                           
303|MOVILIDAD PROGRAMADA|24/07/2026 05:29:27 PM|24/07/2026 05:30:57 PM|1m 30s|BDBOG001|TERMINADO|DIARIO|FAMISANA|                                                                                       
547|JOB_EXT_PLANO_UDEA_RUN|24/07/2026 05:29:27 PM|24/07/2026 05:29:33 PM|6s|TPBOG001|TERMINADO|DIARIO|MDE|                                                                                              
562|ACTUALIZACION ENTIDADES DIRECCIONAMIENTO|24/07/2026 05:29:29 PM|24/07/2026 05:29:37 PM|8s|TPBOG001|TERMINADO|DIARIO|APPNEPS|                                                                        
220|GENERA FACTURAS PAC|24/07/2026 05:29:32 PM|24/07/2026 05:29:33 PM|1s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                                                             
270|CARGA MAPIISSUPC|24/07/2026 05:29:32 PM|24/07/2026 05:29:34 PM|2s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                                                                
223|ACTUALIZA ESTADOS DE FACTURAS PAGADAS O CANCELADAS|24/07/2026 05:29:32 PM|24/07/2026 05:29:32 PM|0s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                              
222|PASO DE FACTURAS POR INTERFAZ A APOTEOSYS|24/07/2026 05:29:32 PM|24/07/2026 05:29:33 PM|1s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                                       
271|DESCARGUE MAPISSSUPC|24/07/2026 05:29:32 PM|24/07/2026 05:29:34 PM|2s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                                                            
55|TAREA_4_CARGUESUPCV5|24/07/2026 05:29:33 PM|24/07/2026 05:29:34 PM|1s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                                                             
720|720_CONSULTACUENTAS|24/07/2026 05:32:20 PM|24/07/2026 05:32:21 PM|1s|TPBOG002|TERMINADO|DIARIO|MDE|                                                                                                 
720|720_CONSULTACUENTAS|24/07/2026 05:37:20 PM|24/07/2026 05:37:21 PM|1s|TPBOG002|TERMINADO|DIARIO|MDE|                                                                                                 
220|GENERA FACTURAS PAC|24/07/2026 05:39:28 PM|24/07/2026 05:39:28 PM|0s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                                                             
223|ACTUALIZA ESTADOS DE FACTURAS PAGADAS O CANCELADAS|24/07/2026 05:39:28 PM|24/07/2026 05:39:28 PM|0s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                              
720|720_CONSULTACUENTAS|24/07/2026 05:42:20 PM|24/07/2026 05:42:21 PM|1s|TPBOG002|TERMINADO|DIARIO|MDE|                                                                                                 
720|720_CONSULTACUENTAS|24/07/2026 05:47:20 PM|24/07/2026 05:47:21 PM|1s|TPBOG002|TERMINADO|DIARIO|MDE|                                                                                                 
223|ACTUALIZA ESTADOS DE FACTURAS PAGADAS O CANCELADAS|24/07/2026 05:49:27 PM|24/07/2026 05:49:27 PM|0s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                              
220|GENERA FACTURAS PAC|24/07/2026 05:49:30 PM|24/07/2026 05:49:30 PM|0s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                                                             
720|720_CONSULTACUENTAS|24/07/2026 05:52:20 PM|24/07/2026 05:52:21 PM|1s|TPBOG002|TERMINADO|DIARIO|MDE|                                                                                                 
720|720_CONSULTACUENTAS|24/07/2026 05:57:20 PM|24/07/2026 05:57:21 PM|1s|TPBOG002|TERMINADO|DIARIO|MDE|                                                                                                 
354|MOVILIDAD DNP|24/07/2026 05:59:26 PM|24/07/2026 05:59:31 PM|5s|TPBOG001|TERMINADO|DIARIO|FAMISANA|                                                                                                  
348|CARGUE BASE FACTURAS - ASESOR|24/07/2026 05:59:26 PM|24/07/2026 11:07:03 PM|5h 7m 37s|BDBOG002|TERMINADO|SEMANAL|BI|                                                                                
547|JOB_EXT_PLANO_UDEA_RUN|24/07/2026 05:59:26 PM|24/07/2026 05:59:31 PM|5s|TPBOG001|TERMINADO|DIARIO|MDE|                                                                                              
134|GESTION|24/07/2026 05:59:27 PM|24/07/2026 06:02:38 PM|3m 11s|BDBOG001|TERMINADO|DIARIO|FAMISANA|                                                                                                    
271|DESCARGUE MAPISSSUPC|24/07/2026 05:59:27 PM|24/07/2026 05:59:28 PM|1s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                                                            
147|ARCHIVOS PARA COLSUBSIDIO|24/07/2026 05:59:27 PM|24/07/2026 06:04:25 PM|4m 58s|BDBOG001|TERMINADO|DIARIO|FAMISANA|                                                                                  
223|ACTUALIZA ESTADOS DE FACTURAS PAGADAS O CANCELADAS|24/07/2026 05:59:27 PM|24/07/2026 05:59:27 PM|0s|APBOG004|TERMINADO|DIARIO|APPNEPS|                                                              
303|MOVILIDAD PROGRAMADA|24/07/2026 05:59:27 PM|24/07/2026 06:03:10 PM|3m 43s|BDBOG001|TERMINADO|DIARIO|FAMISANA|                                                                                       
